,Location,Temperature [°C],Humidity [%],Cloudiness[%],WIndspeed [kph],Latitude,Longitude
0,Hampshire,8.23,71,75,2.06,42.3334,-72.5829
1,Savigny-sur-Orge,6.73,71,0,2.06,48.6768,2.3484
2,Arrondissement de Nevers,0.0,88,4,1.34,46.9167,3.3333
3,28 de Noviembre,6.3,70,83,11.55,-51.65,-72.3
4,Laguna Woods,18.41,44,0,3.22,33.6103,-117.7253
5,Halluin,7.42,79,98,2.68,50.7863,3.1261
6,Union City,18.58,30,1,4.12,37.5958,-122.0192
7,Ali Sabih,24.0,60,1,2.06,11.1558,42.7125
8,Příbram,-1.12,100,42,2.6,49.6899,14.0104
9,Krujë,7.0,87,75,1.54,41.5092,19.7928
10,Augsburg,3.25,65,90,2.57,48.3667,10.8833
11,Oranjestad,26.53,74,20,8.75,12.524,-70.027
12,Notre-Dame-de-l'Île-Perrot,1.84,80,99,1.03,45.3668,-73.9325
13,Cortland,9.27,71,1,2.06,42.6001,-76.083
14,Orange Beach,22.09,100,90,3.6,30.2944,-87.5736
15,Caraguatatuba,23.0,78,75,1.54,-23.6338,-45.4899
16,Stotfold,8.12,81,40,7.2,52.0163,-0.2321
17,Sakété,28.0,83,40,4.63,6.7362,2.6587
18,Changxing,20.89,34,0,2.3,34.2708,107.8357
19,Calipatria,23.61,20,1,3.09,33.1256,-115.5142
20,Alton,14.68,100,75,7.2,38.8906,-90.1843
21,Beledweyne,25.16,67,100,4.67,4.7358,45.2036
22,Nafpaktos,9.44,78,99,0.89,38.3917,21.8275
23,Schneverdingen,1.28,93,75,3.6,53.1167,9.8
24,Ardmore,16.62,48,90,7.72,34.1743,-97.1436
25,Torit,22.8,66,100,1.45,4.4133,32.5678
26,Malden,6.34,70,75,6.17,42.4251,-71.0662
27,Senatobia,23.87,65,90,3.09,34.6176,-89.9687
28,Gaylord,2.71,75,90,2.06,45.0275,-84.6748
29,Zeya,2.37,76,100,2.3,53.75,127.2667
30,Le Roy,6.05,81,1,3.6,42.9784,-77.9842
31,Portland,16.44,39,75,0.96,45.5234,-122.6762
32,Canal Winchester,14.87,72,1,3.09,39.8428,-82.8046
33,Shashamane,14.77,38,86,0.96,7.2,38.6
34,Medinīpur,29.33,32,0,1.5,22.4333,87.3333
35,Bad Nauheim,3.12,81,100,1.74,50.3646,8.7386
36,Scranton,11.75,51,1,4.12,41.409,-75.6624
37,Al Musayyib,8.0,46,0,4.12,32.7833,44.2825
38,Astara,7.0,81,90,1.54,38.5,48.6667
39,Corinth,7.53,81,0,1.54,37.9407,22.9573
40,Irvine,19.07,60,0,1.34,33.6695,-117.8231
41,Baloži,6.0,81,90,4.12,56.8761,24.1186
42,Avanhandava,22.78,74,80,2.77,-21.4608,-49.9497
43,Santa Teresa del Tuy,24.0,94,75,1.03,10.2341,-66.6631
44,Gages Lake,9.03,81,75,4.53,42.3517,-87.9826
45,Aughton,8.15,78,100,0.45,53.3742,-1.3179
46,Belmont,16.89,21,1,3.6,37.5202,-122.2758
47,Tapachula,28.0,78,40,0.64,14.9,-92.2833
48,Southbury,10.96,71,1,1.41,41.4815,-73.2132
49,Tlacolula,27.0,24,1,6.17,16.9542,-96.4792
50,La Malbaie,-3.84,86,85,1.54,47.6575,-70.1559
51,Warsop,8.33,78,100,0.45,53.214,-1.1509
52,Sedgley,8.09,81,100,1.79,52.5417,-2.1211
53,Gonesse,9.0,66,90,2.57,48.9869,2.4489
54,Surin,32.78,59,100,3.77,14.8818,103.4936
55,Tiszaújváros,6.0,65,98,2.06,47.9333,21.0833
56,Ruggell,2.37,67,97,1.96,47.2333,9.5167
57,Conroe,24.19,69,75,2.57,30.3119,-95.456
58,Arealva,23.07,69,20,3.09,-22.0286,-48.9111
59,Waseca,2.52,87,90,9.26,44.0777,-93.5074
60,Beavercreek,16.36,72,1,3.6,39.7092,-84.0633
61,Sanare,17.28,81,100,0.83,9.7515,-69.6532
62,Molepolole,14.0,100,0,2.57,-24.4066,25.4951
63,Washington,12.21,31,1,1.54,47.5001,-120.5015
64,Davie,25.46,73,75,4.63,26.0629,-80.2331
65,Puebla,23.0,20,1,5.14,18.8333,-98.0
66,Garbsen,3.05,75,0,2.57,52.4167,9.6
67,Santiago,19.47,37,0,3.6,-33.4569,-70.6483
68,Tyler,21.18,83,75,1.54,32.3513,-95.3011
69,Plainfield,14.2,58,1,1.54,40.6168,-74.4173
70,Candler-McAfee,23.43,73,1,2.06,33.7267,-84.2725
71,Almonte,12.88,71,0,3.6,37.2647,-6.5167
72,Pirapora,20.85,56,71,0.63,-17.345,-44.9419
73,Provincia di Rimini,10.54,76,4,2.61,44.0241,12.5186
74,Las Tablas,27.0,69,20,4.12,7.7667,-80.2833
75,Mödling,7.74,60,30,5.19,48.086,16.2892
76,Moosic,12.27,51,1,4.12,41.3534,-75.7383
77,Phatthalung,30.34,74,20,1.54,7.5,100.0833
78,Zörbig,1.45,93,0,4.12,51.6333,12.1167
79,Huaraz,11.61,91,100,1.53,-9.5333,-77.5333
80,Baltinava,3.82,88,100,3.83,56.95,27.65
81,Northgate,17.81,72,1,2.57,39.2528,-84.5925
82,Watsonville,13.64,67,1,4.12,36.9102,-121.7569
83,La Junta,7.36,39,1,4.12,37.985,-103.5438
84,Sturtevant,7.4,81,20,3.3,42.6981,-87.8945
85,Quakenbrück,3.52,73,95,2.24,52.6833,7.95
86,Charter Township of Clinton,10.35,100,90,2.57,42.587,-82.9199
87,Shanor-Northvue,13.46,44,1,1.54,40.9105,-79.9156
88,Salzwedel,1.92,90,64,4.08,52.85,11.15
89,Neabsco,15.79,72,1,6.17,38.6084,-77.2922
90,Yuanquan,11.93,12,100,6.71,40.5,95.8
91,Babruysk,3.64,84,97,2.84,53.15,29.2333
92,Zephyrhills West,22.94,73,40,2.06,28.2308,-82.2056
93,Beringovskiy,-14.45,88,100,3.75,63.05,179.3167
94,Naujoji Akmenė,4.0,81,90,5.14,56.3167,22.9
95,Windhoek,16.05,51,0,3.6,-22.5594,17.0832
96,Blacklick Estates,14.6,59,1,3.09,39.9051,-82.8643
